                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 0.3062,                0.46375,                0.28827,                0.94693,                0.98163,                      1,                0.99379,                0.97068,                0.98163,                      1,                0.99379,                 0.9822,                0.30223,                0.32129,                 0.3453,                0.73873,              0.0015446,              0.0015446,              0.0015446
                     26,                 0.3023,                0.47946,                 0.2756,                0.95773,                0.99837,                      1,                  0.995,                 0.9457,                0.99837,                      1,                  0.995,                 0.9723,                0.32814,                0.35403,                0.35952,                0.75671,              0.0015248,              0.0015248,              0.0015248
                     27,                0.29834,                0.46954,                0.27266,                0.96215,                0.95675,                      1,                0.99398,                0.99205,                0.95675,                      1,                0.99398,                0.97979,                0.26319,                0.38811,                 0.3263,                0.72808,               0.001505,               0.001505,               0.001505
                     28,                0.28467,                0.41794,                0.27364,                0.93765,                 0.9985,                      1,                  0.995,                0.98192,                 0.9985,                      1,                  0.995,                0.98539,                0.24753,                0.38205,                0.35811,                0.69722,              0.0014852,              0.0014852,              0.0014852
                     29,                0.30658,                0.44055,                0.26998,                0.95072,                      1,                0.99903,                  0.995,                0.96989,                      1,                0.99903,                  0.995,                 0.9799,                0.34217,                0.40984,                0.34565,                0.78744,              0.0014654,              0.0014654,              0.0014654
                     30,                0.30046,                0.44841,                0.26267,                0.94879,                0.99879,                      1,                  0.995,                0.97521,                0.99879,                      1,                  0.995,                0.98576,                0.27368,                0.34979,                0.28152,                0.68989,              0.0014456,              0.0014456,              0.0014456
                     31,                0.30571,                0.46175,                0.27474,                 0.9542,                0.99877,                      1,                  0.995,                0.98206,                0.99877,                      1,                  0.995,                0.98318,                0.26931,                 0.3732,                0.39427,                0.71805,              0.0014258,              0.0014258,              0.0014258
                     32,                0.30262,                0.46668,                0.27532,                0.94528,                0.98114,                      1,                0.99448,                0.98126,                0.98114,                      1,                0.99448,                0.97768,                  0.279,                0.40215,                0.35456,                0.73501,               0.001406,               0.001406,               0.001406
                     33,                0.28907,                 0.4625,                 0.2533,                 0.9418,                0.99782,                      1,                  0.995,                0.98632,                0.99782,                      1,                  0.995,                0.95813,                0.21916,                0.50746,                0.31399,                0.67817,              0.0013862,              0.0013862,              0.0013862
                     34,                0.28524,                0.43905,                0.25204,                 0.9379,                0.99704,                      1,                  0.995,                0.99394,                0.99704,                      1,                  0.995,                0.97745,                0.20684,                0.38221,                0.32046,                0.65445,              0.0013664,              0.0013664,              0.0013664
                     35,                0.28181,                0.44132,                0.25676,                0.94743,                0.99879,                      1,                  0.995,                0.98677,                0.99879,                      1,                  0.995,                0.98462,                0.20593,                 0.3989,                0.27779,                0.65948,              0.0013466,              0.0013466,              0.0013466
                     36,                0.28238,                  0.415,                0.26162,                0.94388,                 0.9988,                      1,                  0.995,                0.97657,                 0.9988,                      1,                  0.995,                0.99001,                0.25403,                0.37086,                 0.2922,                0.68626,              0.0013268,              0.0013268,              0.0013268
                     37,                0.28286,                0.44128,                0.26641,                0.93621,                0.99829,                      1,                  0.995,                0.94396,                0.99829,                      1,                  0.995,                0.95314,                0.56687,                0.35862,                0.60399,                0.89207,               0.001307,               0.001307,               0.001307
                     38,                0.27941,                0.44066,                 0.2487,                0.94515,                0.99901,                      1,                  0.995,                0.99391,                0.99901,                      1,                  0.995,                0.98472,                0.26705,                0.38476,                0.35112,                0.72592,              0.0012872,              0.0012872,              0.0012872
                     39,                0.28965,                0.47227,                 0.2498,                0.94298,                0.99737,                      1,                  0.995,                0.94641,                0.99737,                      1,                  0.995,                0.96344,                0.26916,                0.36108,                0.38511,                0.71049,              0.0012674,              0.0012674,              0.0012674
                     40,                0.27264,                0.44117,                0.24357,                0.93045,                0.99853,                      1,                  0.995,                0.96407,                0.99853,                      1,                  0.995,                0.98447,                0.32121,                0.32493,                0.37332,                0.75415,              0.0012476,              0.0012476,              0.0012476
                     41,                0.27115,                0.41949,                0.24574,                0.92752,                 0.9968,                      1,                  0.995,                0.99039,                 0.9968,                      1,                  0.995,                0.98589,                0.27198,                0.35823,                0.34751,                0.68805,              0.0012278,              0.0012278,              0.0012278
                     42,                0.27743,                0.41873,                0.24306,                0.94331,                0.99801,                      1,                  0.995,                0.99026,                0.99801,                      1,                  0.995,                0.98568,                0.21619,                0.33731,                0.28459,                0.65281,               0.001208,               0.001208,               0.001208
                     43,                0.27216,                 0.4358,                0.24911,                 0.9312,                0.99216,                      1,                  0.995,                0.96531,                0.99216,                      1,                  0.995,                0.97009,                0.25871,                0.32221,                0.39553,                0.67897,              0.0011882,              0.0011882,              0.0011882
                     44,                0.27633,                0.42781,                0.25077,                0.93595,                0.99878,                      1,                  0.995,                0.99286,                0.99878,                      1,                  0.995,                0.98689,                 0.2193,                0.34496,                0.28103,                0.66322,              0.0011684,              0.0011684,              0.0011684
                     45,                0.26267,                0.45343,                0.23831,                0.93433,                      1,                 0.9969,                  0.995,                0.99123,                      1,                 0.9969,                  0.995,                0.98153,                0.27322,                0.35818,                0.37101,                0.71578,              0.0011486,              0.0011486,              0.0011486
                     46,                0.26973,                0.44434,                0.24501,                0.93024,                0.99839,                      1,                  0.995,                0.99318,                0.99839,                      1,                  0.995,                0.98451,                0.18456,                 0.3403,                0.24322,                0.61039,              0.0011288,              0.0011288,              0.0011288
                     47,                0.25253,                0.39501,                0.22752,                0.92785,                0.99895,                      1,                  0.995,                  0.995,                0.99895,                      1,                  0.995,                0.98801,                0.17658,                0.34102,                 0.2314,                0.59626,               0.001109,               0.001109,               0.001109
                     48,                0.26849,                0.45199,                0.24889,                0.93349,                0.99865,                      1,                  0.995,                  0.995,                0.99865,                      1,                  0.995,                 0.9854,                 0.2473,                0.35261,                0.30992,                0.67415,              0.0010892,              0.0010892,              0.0010892
